_id,title,address,description,link_url,indoor_outdoor,tags,longitude,latitude
1,Toronto Island Ferries & Ward's Island Ferry Docks,Ward's Island Ferry Docks,"Ferries have been traversing the short route across Toronto Harbour from the mainland to Toronto Island Park for almost 180 years, with the first vessel - a boat powered by two horses walking on a treadmill - entering commercial service in 1833. At this time, Toronto Island was actually a peninsula connected to the mainland near the mouth of the Don River. A violent storm in April 1858 permanently severed the island from the mainland, creating the now 300-metre wide Eastern Gap. Most of the ferries still operating to the island today are diesel boats constructed between 1935 and 1960. One vessel, the Trillium, is over 100 years old, and is the only sidewheel paddle steamer still sailing in North America! While ferry services operate to 2 other different points on the island for much of the year (Centre Island and Hanlan's Point), Ward's Island is the only dock that offers year-round service. ",https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/all-ferry-schedules/,Outdoor,"ferries,ferry,boats,boat,paddle,toronto,island,sailing,vessel,mainland",-79.35730896,43.63128683
2,Ward's Island Homes,Area to the north and east of Ward's Island Ferry Docks,"Ward's Island was named after David Ward, a local fisherman who settled near here around 1830. Ward's son William built a hotel in 1882, which spurred development on the land around it. Many of the plots here originally featured small, crowded tents that island-goers set up in the summer months. The City granted permission to replace these tents with houses in the 1930s, which explains the relatively small lot sizes of the homes today. In the 1960s, local government decided Toronto Island should be turned entirely into parkland, and the homes here were threatened with demolition. A lengthy legal battle ensued, which was ultimately won by Ward's Island residents, with their property rights preserved under a special piece of legislation passed in 1993. About 250 homes remain on Ward's Island today, housing approximately 600 residents. Many of these homes are unique from almost any others found in Toronto, located on tightly-packed, tiny plots of land and most featuring a humble, cottage-style look.",https://www.toronto.ca/data/parks/prd/facilities/complex/2039/index.html,Outdoor,"island,ward,cottage,homes,residents,toronto,housing,houses,parkland,tents",-79.35517779,43.63269888
3,"Fire Station 335 & Gordon Peteran 'Fire & Water' Installation, & Toronto Island Disc Golf Course",235 Cibola Avenue,"*Please note this is an active fire station. Please do not block driveway. The only fire station on Toronto Island features a public art installation from 1995 named 'Fire and Water' by artist Gordon Peteran. The piece is a brass, copper, bronze, and wood clock on the side of the station's tower. The hands of the clock are a trident and lightning bolt, while the numbers are things such as clouds, a star, and a bird, which is meant to represent nature on the island. Located right beside the fire station is the Toronto Island Disc Golf Course. The course offers a long, challenging layout with great views of the city skyline. The course was established in 1980, and hosted the Disc Golf World Championships in 1987.",https://www.artworxto.ca/artwork/fire-and-water-public-236,Outdoor,"toronto,island,golf,station,driveway,tower,disc,lightning,located,trident",-79.35949364,43.62536695
4,St. Andrew by-the-Lake Anglican Church,"On pathway off of Cibola Avenue, across the water from Far Enough Farm","This heritage-designated wooden church designed by architect AR Dennison dates back to 1884. Prominent nineteenth century Toronto families such as the Masseys and Gooderhams - who summered on the island - helped bring the church to fruition. Dennison utilized a semi-Gothic variation on an architectural style that was mostly used on cottages and summer hotels, giving the church a unique design. The church also features beautiful stained glass windows that were installed in the 1920s by noted artist Robert McCausland. It was moved to its present location in 1959, after being sawed in two and with great care taken to ensure that no damage was done to the windows. One unique tradition at the church is the 'Blessing of the Boats', where a number of vessels mostly from nearby yacht clubs are blessed by the rector, which has occurred annually in a lagoon behind the church since 1949.",,Outdoor,"church,boats,yacht,hotels,lagoon,masseys,cottages,blessing,glass,dennison",-79.36983231,43.62019355
5,Centreville Amusement Park & Far Enough Farm,"On Centre Island, southeast of the Centre Island Ferry Docks","Centreville Amusement Park opened in 1967, featuring amusement rides, a petting zoo, and a full size replica of a small Ontario town. The park was created as part of the government's plan to transform the island from a residential community to parkland, after many of the homes and businesses that were previously located here were demolished in the 1960s. Today Centreville features more than 30 rides and 14 food outlets, primarily geared towards families with young children. Some of the more notable rides include a roller coaster that is modelled after a mine train, a ferris wheel that resembles a wind mill, and a sky ride that offers great views of the park and surrounding island. Another popular part of Centreville is Far Enough Farm, a petting farm that was originally established in 1959. The farm features over 40 different species of animals, including rabbits, goats, chickens, ponies, and cows, and offers visitors the opportunity to interact with them.",https://www.centreisland.ca/centreville-amusement-park,Outdoor,"centreville,farm,ponies,park,rides,zoo,petting,amusement,coaster,animals",-79.37366766,43.62036425
6,William Meany Maze,"Avenue of the Islands (southwest of the bridge), Centre Island","The William Meany Maze is a hedge maze that opened in 2014, replacing a previous hedge maze that was removed in 2011. The original maze was designed by Dutch landscape designer Peter Vanderwerf, and was installed in 1967. William Meany, a Mississauga businessman who was fond of the maze as a child, was saddened by its removal, and donated money for the creation of a new one. The maze features 1,200 black cedars, and with most of them at least 7-feet in height, even the tallest individuals will have to use their wits to navigate their way out! One other intriguing aspect of the maze is the bell that is located at its centre, which was recovered from the Island Public School - the island's first schoolhouse - which burned down in 1909.",,Outdoor,"maze,schoolhouse,island,cedars,navigate,bell,william,mississauga,hedge,meany",-79.3748771,43.61778012
7,Manitou Road Plaque,At intersection of Avenue of the Island and Lakeshore Avenue,"This plaque commemorates the history of Manitou Road, a street that was once the main commercial thoroughfare on Centre Island. In the early twentieth century, numerous businesses popped up along the road, including a general store, butcher shop, dairy, boathouse, laundries, and several hotels. It also became an entertainment hub, featuring a casino, bowling alley, and movie theatre. After the Metropolitan Toronto Council expropriated the land here for parkland, all of the businesses along Manitou Road were demolished, and it was transformed into the concrete walkway that it is today. ",,Outdoor,"manitou,walkway,street,road,parkland,thoroughfare,centre,metropolitan,island,toronto",-79.37239941,43.61709161
8,Centre Island Pier,At the south end of Avenue of the Islands over Lake Ontario,"This beautiful Y-shaped pier juts right out into the waters of Lake Ontario, providing spectacular views across the lake, as well as back towards the Toronto skyline. It was originally constructed in the 1960s as part of Metro Toronto's plans to turn the entirety of island into parklands. Part of the plan was to include a large 2,400 seat amphitheatre on this site, which never came to fruition. There are binoculars at the end of the pier that allow users to get an even closer look of the lake and surrounding area.",,Outdoor,"pier,lake,parklands,toronto,ontario,island,metro,amphitheatre,binoculars,surrounding",-79.37126551,43.61574217
9,Franklin Children's Garden,"The Mall, Centre Island","This theme garden is based on characters from the celebrated 'Franklin the Turtle' book series written by Paulette Bourgeois, and illustrated by Brenda Clark (both of whom are Canadian). It is divided into seven sections for gardening, storytelling, and exploring wildlife. It features several bronze statues of Franklin and his friends, as well as some benches, plants and paths, and a turtle pond. There is also a hill at the top of the Snail Trail that is the highest point on the island, and features a pair of binoculars that allow visitors to check out the view. A small amphitheatre on site plays host to special events, shows, storytelling, and camp sessions.",https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,Outdoor,"garden,gardening,turtle,theme,pond,plants,island,statues,franklin,paulette",-79.37678348,43.61602183
10,Artscape Gibraltar Point,443 Lakeshore Avenue,"*Private property. Please observe from the street only. Artscape Gibraltar Point is a secluded community cultural hub surrounded by 46 acres of parkland and its own beachfront, offering artists an ideal place to work, as well as a space for events. It is housed in the old Toronto Island Public and Natural School building, which was threatened with demolition in the 1990s. Artscape - a not-for-profit group of arts and cultural organizations - partnered with the City of Toronto to create a new vision for the site that included a retreat centre, artists lodge, and long-term artist work studios. Since opening in 1999, it has hosted thousands of local and international artists in residence. A recording studio at the facility has been utilized for albums recorded by artists such as Godspeed You! Black Emperor, Gord Downie, Julie Doiron, and Tuvan throat singers from Mongolia.",https://artscapegibraltarpoint.ca/,Outdoor,"artscape,gibraltar,artists,arts,studios,toronto,studio,parkland,place,beachfront",-79.38396653,43.61321213
