title,address,description,imageLink,tags
1 Kitchen Toronto,"550 Wellington St W,Toronto, ON M5V 2V5","Walking through the doors of 1 Hotel, one might feel as though they’re in familiar territory. Located at the site of the former Thompson Hotel, 1 Hotel Toronto is the first Canadian property by 1 Hotels, a luxury hotel brand inspired by nature. The brand currently has properties scattered across North America, in major cities Bistro, Breakfast Sandwiches",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/1HT_1KitchenJuiceBar_CreditBrandonBarre-e1628012887889-455x200.jpg,"hotels,hotel,toronto,luxury,doors,canadian,bistro,brand,cities,north"
12 Tables,"1552 Avenue Road,Toronto, ON M5M 3X5","Fine and fresh ingredients are crafted into traditional Italian dishes at 12 Tables. The team behind the new Avenue Road joint has been restaurateurs in Europe since 1999, and recently took their talents to Toronto. The menu includes a pavlova which is nothing short of spectacular, served with homemade raspberry coulis, whipped cream and seasonal Antipasto, Bistro",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/11/Snapinsta.app_313284641_150292837727054_808912276125493298_n_1080-455x200.webp,"pavlova,avenue,dishes,restaurateurs,bistro,road,homemade,traditional,joint,ingredients"
3030 Dundas West,"3030 Dundas St W,Toronto, ON M6P 1Z3","Restaurant 3030 Dundas West is a hotbed of culture in the ever-more-happening Junction. The cavernous space is a bit of everything: a bar, restaurant, art gallery and concert hall rolled into one. Paintings from local artists — like cool cat Nick Sweetman — oversee patrons downing local brews and tucking into eats before heading to Bar, Caribbean",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/3030-sammy-455x200.jpg,"restaurant,bar,dundas,patrons,junction,cavernous,west,caribbean,gallery,hall"
416 Snack Bar,"181 Bathurst Street,Toronto, Ontario M5T 2R7","If you’ve ever wanted to rub elbows with your favourite Toronto chefs, bartenders and servers then you’ll likely find them at 416 Snack Bar, a known industry favourite. The menu reads like the ultimate international passport to gastropub (read, elevated bar food) fare. It is as it says on their website “all over the map.” Korean, Korean Fried Chicken",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/cheapeatkoreanheader-e1557857399159-455x200.jpg,"bar,chefs,bartenders,gastropub,snack,toronto,food,chicken,menu,fried"
7 Baker,"3 Wellesley St W,Toronto, ON M4Y 1E8","At 7 Baker, European and Asian flavours come together to create totally unique and delectable baked goods. With traditional European bread and pastry recipes infused with Asian flavours, this bakery is unlike anything you’ve ever laid eyes on. The shiny space features gold finishings that make the bakery gleam from the outside. If the shiny Asian, Bakery",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/7baker-455x200.jpg,"bakery,asian,baked,pastry,flavours,baker,european,recipes,bread,traditional"
7 Numbers,"516 Eglinton Ave W,Toronto, ON M5N 1A5","For over 10 years, 7 Numbers has been showing Toronto how to put, and keep, the “family” in family style. This southern Italian restaurant is serving its country’s version of soul food cooked up by the owning family’s matriarch, Rosa. Once a month, Mama Rosa opens her kitchen doors to teach others how to make Calamari, Italian",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/7numbers-455x200.jpg,"calamari,rosa,italian,restaurant,mama,kitchen,family,toronto,matriarch,food"
7 Numbers Picton,"161 Main St W,Picton, ON K0K 2T0","About two hours east of Toronto, in the heart of Ontario wine country, 7 Numbers Picton is serving traditional southern Italian fare, family style. Since 2001, Mama Rosa has been dishing out some authentic Italian fare to the people of Toronto. After 19 years in the business, 7 Numbers decided to open up a new Antipasto, Calamari",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/7Numbers_Orecchiette-455x200.jpg,"picton,calamari,ontario,toronto,rosa,numbers,italian,antipasto,wine,mama"
7 West,"7 Charles St W,Toronto, ON M4Y 1R4","Restaurant 7 West serves all around the clock, 365 days a year, so you never have to miss out on good grub in our city. Located on Charles Street in the heart of the Annex, this multi-level restaurant is not only 24/7, but it also changes as you scale the stairs. The first level is Antipasto, Bar",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/7WESTCAFE-SPAGHETTI-455x200.jpg,"restaurant,west,grub,charles,bar,stairs,street,located,days,city"
850 Degrees Pizzeria,"3455 Lake Shore Blvd W,Etobicoke, ON M8W 1N2","Etobicoke’s own special little spot, 850 Degrees Pizzeria serves up homemade pizzas, featuring local ingredients, cooked in an authentic wood oven. There is nothing not to love about its pizzas. The dough is homemade using a 120-year-old recipe from southern Italy. The meats come from the Belaga family siblings’ family farm in Ontario, who all Antipasto, Bruschetta",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/850-degrees-pizza-in-oven-455x200.jpg,"etobicoke,pizzeria,pizzas,oven,recipe,dough,belaga,italy,cooked,bruschetta"
A La Kitchen,"First Markham Centre, 11 Fairburn Dr Unit 18,Markham, ON L6G 1A6","Strictly Shanghainese restaurants are few and far between in and around the city — usually, the cuisine is fused with food from other regions of China like Szecuhuan or Taiwan. But for great Shanghainese food, head up to A La Kitchen for soup-filled dumplings and other classics like noodle dishes and braised meats. Chinese, Dim Sum",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/a-la-kitchen-markham-455x200.jpg,"shanghainese,cuisine,restaurants,chinese,dishes,taiwan,china,szecuhuan,dumplings,noodle"
